using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       aten::relu         0.96%       8.512ms         2.91%      25.714ms      25.714ms       8.327ms         0.93%      25.985ms      25.985ms             1  
                  aten::threshold         1.94%      17.166ms         1.94%      17.202ms      17.202ms      17.657ms         1.96%      17.657ms      17.657ms             1  
                      aten::empty         0.00%      36.354us         0.00%      36.354us      36.354us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.76%       6.720ms         4.39%      38.853ms      38.853ms       7.874ms         0.88%      39.211ms      39.211ms             1  
    aten::max_pool2d_with_indices         2.09%      18.498ms         3.63%      32.133ms      32.133ms      31.335ms         3.48%      31.336ms      31.336ms             1  
                      aten::empty         1.53%      13.541ms         1.53%      13.541ms      13.541ms       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%       7.709us         0.00%       7.709us       7.709us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      57.240us         0.01%      57.240us      57.240us       1.750us         0.00%       1.750us       1.750us             1  
                     aten::stride         0.00%       2.656us         0.00%       2.656us       2.656us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.250us         0.00%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.989us         0.00%       0.989us       0.989us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.990us         0.00%       0.990us       0.990us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      17.968us         0.00%      17.968us      17.968us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%       5.313us         0.00%       5.313us       5.313us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.03%     267.083us         7.79%      68.971ms      68.971ms       2.688us         0.00%      73.000ms      73.000ms             1  
                aten::convolution         0.02%     201.615us         7.76%      68.704ms      68.704ms      90.062us         0.01%      72.998ms      72.998ms             1  
               aten::_convolution         0.05%     432.606us         7.74%      68.502ms      68.502ms     160.062us         0.02%      72.907ms      72.907ms             1  
                 aten::contiguous         0.01%      71.718us         0.01%      71.718us      71.718us      67.125us         0.01%      67.125us      67.125us             1  
          aten::cudnn_convolution         7.59%      67.134ms         7.62%      67.423ms      67.423ms      72.152ms         8.02%      72.420ms      72.420ms             1  
                      aten::empty         0.00%      33.438us         0.00%      33.438us      33.438us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%     103.906us         0.01%     103.906us     103.906us      95.875us         0.01%      95.875us      95.875us             1  
                    aten::resize_         0.00%       7.395us         0.00%       7.395us       7.395us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%     110.208us         0.01%     110.208us     110.208us     171.875us         0.02%     171.875us     171.875us             1  
                    aten::resize_         0.00%       5.260us         0.00%       5.260us       5.260us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.073us         0.00%       3.073us       3.073us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.823us         0.00%       1.823us       1.823us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.718us         0.00%       1.718us       1.718us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.614us         0.00%       1.614us       1.614us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      20.938us         0.00%      20.938us      20.938us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.01%      52.917us         0.02%     168.958us     168.958us       1.312us         0.00%       1.312us       1.312us             1  
                       aten::view         0.01%     116.041us         0.01%     116.041us     116.041us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.05%     405.885us         0.05%     405.885us     405.885us     258.875us         0.03%     258.875us     258.875us             1  
                       aten::relu         0.05%     462.448us         0.07%     648.021us     648.021us       5.500us         0.00%      84.438us      84.438us             1  
                  aten::threshold         0.02%     155.417us         0.02%     185.573us     185.573us      78.938us         0.01%      78.938us      78.938us             1  
                      aten::empty         0.00%      30.156us         0.00%      30.156us      30.156us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.01%     132.240us         0.28%       2.478ms       2.478ms       2.688us         0.00%      10.535ms      10.535ms             1  
                aten::convolution         0.01%     128.438us         0.27%       2.346ms       2.346ms       7.875us         0.00%      10.533ms      10.533ms             1  
               aten::_convolution         0.04%     382.552us         0.25%       2.217ms       2.217ms       6.875us         0.00%      10.525ms      10.525ms             1  
                 aten::contiguous         0.01%      62.135us         0.01%      62.135us      62.135us       1.375us         0.00%       1.375us       1.375us             1  
          aten::cudnn_convolution         0.12%       1.056ms         0.14%       1.272ms       1.272ms      10.259ms         1.14%      10.262ms      10.262ms             1  
                      aten::empty         0.00%      30.104us         0.00%      30.104us      30.104us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      65.156us         0.01%      65.156us      65.156us       1.438us         0.00%       1.438us       1.438us             1  
                    aten::resize_         0.00%       8.333us         0.00%       8.333us       8.333us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      63.490us         0.01%      63.490us      63.490us       1.375us         0.00%       1.375us       1.375us             1  
                    aten::resize_         0.00%       6.041us         0.00%       6.041us       6.041us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       4.532us         0.00%       4.532us       4.532us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.552us         0.00%       2.552us       2.552us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.448us         0.00%       2.448us       2.448us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.604us         0.00%       2.604us       2.604us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      29.792us         0.00%      29.792us      29.792us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.01%      80.521us         0.02%     147.083us     147.083us       1.375us         0.00%       1.375us       1.375us             1  
                       aten::view         0.01%      66.562us         0.01%      66.562us      66.562us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.04%     353.854us         0.04%     353.854us     353.854us     253.062us         0.03%     253.062us     253.062us             1  
                       aten::relu         0.03%     285.000us         0.06%     574.271us     574.271us       5.438us         0.00%      81.812us      81.812us             1  
                  aten::threshold         0.03%     267.864us         0.03%     289.271us     289.271us      76.375us         0.01%      76.375us      76.375us             1  
                      aten::empty         0.00%      21.407us         0.00%      21.407us      21.407us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.01%      95.209us         0.16%       1.448ms       1.448ms       2.688us         0.00%       7.024ms       7.024ms             1  
                aten::convolution         0.01%      71.875us         0.15%       1.353ms       1.353ms       2.875us         0.00%       7.021ms       7.021ms             1  
               aten::_convolution         0.02%     201.198us         0.14%       1.281ms       1.281ms       6.812us         0.00%       7.018ms       7.018ms             1  
                 aten::contiguous         0.00%      29.427us         0.00%      29.427us      29.427us       1.438us         0.00%       1.438us       1.438us             1  
          aten::cudnn_convolution         0.08%     677.499us         0.09%     791.927us     791.927us       6.829ms         0.76%       6.832ms       6.832ms             1  
                      aten::empty         0.00%      18.594us         0.00%      18.594us      18.594us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      31.823us         0.00%      31.823us      31.823us       1.375us         0.00%       1.375us       1.375us             1  
                    aten::resize_         0.00%       4.323us         0.00%       4.323us       4.323us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      31.511us         0.00%      31.511us      31.511us       1.438us         0.00%       1.438us       1.438us             1  
                    aten::resize_         0.00%       3.437us         0.00%       3.437us       3.437us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.500us         0.00%       2.500us       2.500us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.302us         0.00%       1.302us       1.302us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.198us         0.00%       1.198us       1.198us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.094us         0.00%       1.094us       1.094us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      18.646us         0.00%      18.646us      18.646us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.00%      36.666us         0.01%      74.062us      74.062us       1.375us         0.00%       1.375us       1.375us             1  
                       aten::view         0.00%      37.396us         0.00%      37.396us      37.396us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.02%     184.167us         0.02%     184.167us     184.167us     176.562us         0.02%     176.562us     176.562us             1  
                       aten::relu         0.02%     179.166us         0.04%     309.844us     309.844us       5.500us         0.00%      60.062us      60.062us             1  
                  aten::threshold         0.01%     109.584us         0.01%     130.678us     130.678us      54.562us         0.01%      54.562us      54.562us             1  
                      aten::empty         0.00%      21.094us         0.00%      21.094us      21.094us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.01%      89.687us         0.06%     499.114us     499.114us       2.750us         0.00%     145.875us     145.875us             1  
    aten::max_pool2d_with_indices         0.04%     324.687us         0.05%     409.427us     409.427us     141.750us         0.02%     143.125us     143.125us             1  
                      aten::empty         0.00%       8.959us         0.00%       8.959us       8.959us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%       5.000us         0.00%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      38.646us         0.00%      38.646us      38.646us       1.375us         0.00%       1.375us       1.375us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 885.011ms
CUDA time total: 899.152ms
AlexNet_without_conv1
using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d         3.98%      28.634ms        63.03%     453.916ms     453.916ms      28.658ms         3.94%     453.964ms     453.964ms             1  
                aten::convolution         0.08%     543.854us        59.05%     425.281ms     425.281ms     523.000us         0.07%     425.306ms     425.306ms             1  
               aten::_convolution         3.32%      23.901ms        58.98%     424.737ms     424.737ms      23.307ms         3.21%     424.783ms     424.783ms             1  
                 aten::contiguous         0.02%     169.115us         0.02%     169.115us     169.115us     139.477us         0.02%     139.477us     139.477us             1  
          aten::cudnn_convolution        43.35%     312.194ms        48.07%     346.185ms     346.185ms     348.583ms        47.97%     348.873ms     348.873ms             1  
                      aten::empty         0.12%     882.032us         0.12%     882.032us     882.032us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.04%     267.396us         0.04%     267.396us     267.396us     230.141us         0.03%     230.141us     230.141us             1  
                    aten::resize_         4.54%      32.710ms         4.54%      32.710ms      32.710ms       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      72.344us         0.01%      72.344us      72.344us      59.781us         0.01%      59.781us      59.781us             1  
                    aten::resize_         0.00%       3.125us         0.00%       3.125us       3.125us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       6.875us         0.00%       6.875us       6.875us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.771us         0.00%       1.771us       1.771us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.354us         0.00%       1.354us       1.354us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.989us         0.00%       0.989us       0.989us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.01%      45.156us         0.01%      45.156us      45.156us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.10%     685.468us         0.24%       1.735ms       1.735ms       0.875us         0.00%       0.875us       0.875us             1  
                       aten::view         0.15%       1.050ms         0.15%       1.050ms       1.050ms       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         7.32%      52.748ms         7.32%      52.748ms      52.748ms      52.463ms         7.22%      52.463ms      52.463ms             1  
                       aten::relu         0.25%       1.770ms         5.84%      42.053ms      42.053ms       1.627ms         0.22%      41.968ms      41.968ms             1  
                  aten::threshold         5.59%      40.253ms         5.59%      40.284ms      40.284ms      40.340ms         5.55%      40.340ms      40.340ms             1  
                      aten::empty         0.00%      30.573us         0.00%      30.573us      30.573us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.14%     989.376us         2.42%      17.427ms      17.427ms     778.750us         0.11%      17.513ms      17.513ms             1  
    aten::max_pool2d_with_indices         0.15%       1.089ms         2.28%      16.437ms      16.437ms      16.674ms         2.29%      16.734ms      16.734ms             1  
                      aten::empty         2.12%      15.236ms         2.12%      15.236ms      15.236ms       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%       6.667us         0.00%       6.667us       6.667us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      73.437us         0.01%      73.437us      73.437us      60.500us         0.01%      60.500us      60.500us             1  
                     aten::stride         0.00%       2.344us         0.00%       2.344us       2.344us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.146us         0.00%       1.146us       1.146us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.042us         0.00%       1.042us       1.042us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.042us         0.00%       1.042us       1.042us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      18.906us         0.00%      18.906us      18.906us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%       7.448us         0.00%       7.448us       7.448us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.03%     211.771us         1.72%      12.374ms      12.374ms     173.438us         0.02%      14.741ms      14.741ms             1  
                aten::convolution         0.02%     175.104us         1.69%      12.163ms      12.163ms     155.188us         0.02%      14.567ms      14.567ms             1  
               aten::_convolution         0.07%     539.168us         1.66%      11.988ms      11.988ms     486.875us         0.07%      14.412ms      14.412ms             1  
                 aten::contiguous         0.03%     217.500us         0.03%     217.500us     217.500us     191.000us         0.03%     191.000us     191.000us             1  
          aten::cudnn_convolution         1.46%      10.538ms         1.52%      10.975ms      10.975ms      13.277ms         1.83%      13.576ms      13.576ms             1  
                      aten::empty         0.01%      48.333us         0.01%      48.333us      48.333us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.03%     205.260us         0.03%     205.260us     205.260us     175.750us         0.02%     175.750us     175.750us             1  
                    aten::resize_         0.00%       6.719us         0.00%       6.719us       6.719us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.02%     123.593us         0.02%     123.593us     123.593us     124.062us         0.02%     124.062us     124.062us             1  
                    aten::resize_         0.00%       7.188us         0.00%       7.188us       7.188us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       4.375us         0.00%       4.375us       4.375us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.230us         0.00%       3.230us       3.230us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.865us         0.00%       2.865us       2.865us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.760us         0.00%       2.760us       2.760us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      32.604us         0.00%      32.604us      32.604us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.00%      34.999us         0.01%      75.989us      75.989us       0.812us         0.00%       0.812us       0.812us             1  
                       aten::view         0.01%      40.990us         0.01%      40.990us      40.990us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.02%     179.531us         0.02%     179.531us     179.531us     157.125us         0.02%     157.125us     157.125us             1  
                       aten::relu         0.02%     163.646us         0.04%     284.531us     284.531us       3.688us         0.00%      51.375us      51.375us             1  
                  aten::threshold         0.01%     103.125us         0.02%     120.885us     120.885us      47.688us         0.01%      47.688us      47.688us             1  
                      aten::empty         0.00%      17.760us         0.00%      17.760us      17.760us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.01%      94.843us         2.09%      15.074ms      15.074ms       1.812us         0.00%      18.541ms      18.541ms             1  
                aten::convolution         0.01%      90.834us         2.08%      14.979ms      14.979ms       1.688us         0.00%      18.540ms      18.540ms             1  
               aten::_convolution         0.03%     238.645us         2.07%      14.888ms      14.888ms       4.625us         0.00%      18.538ms      18.538ms             1  
                 aten::contiguous         0.00%      32.917us         0.00%      32.917us      32.917us       0.875us         0.00%       0.875us       0.875us             1  
          aten::cudnn_convolution         1.96%      14.123ms         1.98%      14.227ms      14.227ms      18.376ms         2.53%      18.378ms      18.378ms             1  
                      aten::empty         0.00%      15.260us         0.00%      15.260us      15.260us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      32.344us         0.00%      32.344us      32.344us       0.875us         0.00%       0.875us       0.875us             1  
                    aten::resize_         0.00%       4.062us         0.00%       4.062us       4.062us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      29.635us         0.00%      29.635us      29.635us       0.875us         0.00%       0.875us       0.875us             1  
                    aten::resize_         0.00%       3.125us         0.00%       3.125us       3.125us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.553us         0.00%       2.553us       2.553us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.250us         0.00%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.198us         0.00%       1.198us       1.198us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.302us         0.00%       1.302us       1.302us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      13.438us         0.00%      13.438us      13.438us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.01%      50.365us         0.01%     103.698us     103.698us       0.875us         0.00%       0.875us       0.875us             1  
                       aten::view         0.01%      53.333us         0.01%      53.333us      53.333us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.04%     285.260us         0.04%     285.260us     285.260us     153.750us         0.02%     153.750us     153.750us             1  
                       aten::relu         0.04%     264.948us         0.06%     466.718us     466.718us       5.062us         0.00%      51.312us      51.312us             1  
                  aten::threshold         0.02%     169.478us         0.03%     201.770us     201.770us      46.250us         0.01%      46.250us      46.250us             1  
                      aten::empty         0.00%      32.292us         0.00%      32.292us      32.292us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.02%     115.208us         0.36%       2.562ms       2.562ms       1.750us         0.00%       4.279ms       4.279ms             1  
                aten::convolution         0.03%     247.031us         0.34%       2.447ms       2.447ms       1.812us         0.00%       4.278ms       4.278ms             1  
               aten::_convolution         0.05%     355.678us         0.31%       2.200ms       2.200ms       4.438us         0.00%       4.276ms       4.276ms             1  
                 aten::contiguous         0.05%     361.667us         0.05%     361.667us     361.667us       0.812us         0.00%       0.812us       0.812us             1  
          aten::cudnn_convolution         0.11%     825.520us         0.14%     991.979us     991.979us       4.161ms         0.57%       4.163ms       4.163ms             1  
                      aten::empty         0.00%      21.146us         0.00%      21.146us      21.146us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      47.292us         0.01%      47.292us      47.292us       0.938us         0.00%       0.938us       0.938us             1  
                    aten::resize_         0.00%       7.031us         0.00%       7.031us       7.031us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      49.427us         0.01%      49.427us      49.427us       0.938us         0.00%       0.938us       0.938us             1  
                    aten::resize_         0.00%       4.688us         0.00%       4.688us       4.688us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       4.427us         0.00%       4.427us       4.427us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.292us         0.00%       2.292us       2.292us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.292us         0.00%       2.292us       2.292us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.291us         0.00%       2.291us       2.291us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      25.573us         0.00%      25.573us      25.573us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.01%      74.739us         0.02%     136.927us     136.927us       0.938us         0.00%       0.938us       0.938us             1  
                       aten::view         0.01%      62.188us         0.01%      62.188us      62.188us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.05%     353.541us         0.05%     353.541us     353.541us     107.062us         0.01%     107.062us     107.062us             1  
                       aten::relu         0.02%     170.052us         0.04%     294.323us     294.323us       3.562us         0.00%      36.688us      36.688us             1  
                  aten::threshold         0.01%     107.292us         0.02%     124.271us     124.271us      33.125us         0.00%      33.125us      33.125us             1  
                      aten::empty         0.00%      16.979us         0.00%      16.979us      16.979us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.02%     108.542us         0.08%     598.646us     598.646us       1.750us         0.00%      90.250us      90.250us             1  
    aten::max_pool2d_with_indices         0.05%     377.084us         0.07%     490.104us     490.104us      87.625us         0.01%      88.500us      88.500us             1  
                      aten::empty         0.00%      11.406us         0.00%      11.406us      11.406us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%       7.188us         0.00%       7.188us       7.188us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      51.667us         0.01%      51.667us      51.667us       0.875us         0.00%       0.875us       0.875us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 720.189ms
CUDA time total: 726.632ms
AlexNet_without_conv2
using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d         2.74%      18.775ms        64.42%     441.729ms     441.729ms      18.747ms         2.67%     442.814ms     442.814ms             1  
                aten::convolution         0.04%     253.229us        61.68%     422.954ms     422.954ms     179.359us         0.03%     424.067ms     424.067ms             1  
               aten::_convolution         3.63%      24.918ms        61.64%     422.701ms     422.701ms      24.479ms         3.48%     423.888ms     423.888ms             1  
                 aten::contiguous         0.06%     425.000us         0.06%     425.000us     425.000us     431.305us         0.06%     431.305us     431.305us             1  
          aten::cudnn_convolution        45.29%     310.580ms        50.49%     346.255ms     346.255ms     346.399ms        49.28%     346.747ms     346.747ms             1  
                      aten::empty         0.20%       1.365ms         0.20%       1.365ms       1.365ms       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.03%     182.708us         0.03%     182.708us     182.708us     154.891us         0.02%     154.891us     154.891us             1  
                    aten::resize_         4.95%      33.971ms         4.95%      33.971ms      33.971ms       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      94.114us         0.01%      94.114us      94.114us     193.031us         0.03%     193.031us     193.031us             1  
                    aten::resize_         0.00%      11.354us         0.00%      11.354us      11.354us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       4.896us         0.00%       4.896us       4.896us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.198us         0.00%       1.198us       1.198us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.198us         0.00%       1.198us       1.198us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.042us         0.00%       1.042us       1.042us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.01%      43.437us         0.01%      43.437us      43.437us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.52%       3.538ms         0.70%       4.778ms       4.778ms       4.965ms         0.71%       4.965ms       4.965ms             1  
                       aten::view         0.18%       1.240ms         0.18%       1.240ms       1.240ms       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         6.76%      46.324ms         6.76%      46.324ms      46.324ms      47.265ms         6.72%      47.265ms      47.265ms             1  
                       aten::relu         0.12%     843.333us         3.34%      22.871ms      22.871ms     355.531us         0.05%      22.901ms      22.901ms             1  
                  aten::threshold         3.21%      21.991ms         3.21%      22.028ms      22.028ms      22.546ms         3.21%      22.546ms      22.546ms             1  
                      aten::empty         0.01%      37.240us         0.01%      37.240us      37.240us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.04%     304.322us         4.49%      30.790ms      30.790ms      42.812us         0.01%      31.099ms      31.099ms             1  
    aten::max_pool2d_with_indices         2.08%      14.292ms         4.45%      30.485ms      30.485ms      31.055ms         4.42%      31.056ms      31.056ms             1  
                      aten::empty         2.31%      15.831ms         2.31%      15.831ms      15.831ms       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      18.490us         0.00%      18.490us      18.490us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.02%     145.364us         0.02%     145.364us     145.364us       1.750us         0.00%       1.750us       1.750us             1  
                     aten::stride         0.00%       7.864us         0.00%       7.864us       7.864us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       5.416us         0.00%       5.416us       5.416us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       5.157us         0.00%       5.157us       5.157us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       4.896us         0.00%       4.896us       4.896us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.02%     130.052us         0.02%     130.052us     130.052us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.01%      44.740us         0.01%      44.740us      44.740us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.05%     316.094us         1.67%      11.463ms      11.463ms     219.250us         0.03%      40.280ms      40.280ms             1  
                aten::convolution         0.05%     371.666us         1.63%      11.147ms      11.147ms     191.125us         0.03%      40.060ms      40.060ms             1  
               aten::_convolution         0.12%     805.887us         1.57%      10.776ms      10.776ms     355.750us         0.05%      39.869ms      39.869ms             1  
                 aten::contiguous         0.02%     124.687us         0.02%     124.687us     124.687us      95.500us         0.01%      95.500us      95.500us             1  
          aten::cudnn_convolution         1.20%       8.261ms         1.28%       8.779ms       8.779ms      38.486ms         5.47%      38.714ms      38.714ms             1  
                      aten::empty         0.01%      58.490us         0.01%      58.490us      58.490us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.05%     309.948us         0.05%     309.948us     309.948us     152.500us         0.02%     152.500us     152.500us             1  
                    aten::resize_         0.00%       8.437us         0.00%       8.437us       8.437us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      84.896us         0.01%      84.896us      84.896us      75.750us         0.01%      75.750us      75.750us             1  
                    aten::resize_         0.00%       6.614us         0.00%       6.614us       6.614us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       4.792us         0.00%       4.792us       4.792us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.813us         0.00%       2.813us       2.813us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.656us         0.00%       2.656us       2.656us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.605us         0.00%       2.605us       2.605us       0.000us         0.00%       0.000us       0.000us             1  
