using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  aten::threshold         0.00%     279.427us         0.00%     305.625us     305.625us     592.000us         0.00%     592.000us     592.000us             1  
                      aten::empty         0.00%      26.198us         0.00%      26.198us      26.198us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.00%     120.990us         0.01%       4.879ms       4.879ms       8.000us         0.00%       1.732ms       1.732ms             1  
    aten::max_pool2d_with_indices         0.00%     550.730us         0.01%       4.758ms       4.758ms       1.720ms         0.00%       1.724ms       1.724ms             1  
                      aten::empty         0.00%      19.375us         0.00%      19.375us      19.375us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%       8.437us         0.00%       8.437us       8.437us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      70.000us         0.00%      70.000us      70.000us       4.000us         0.00%       4.000us       4.000us             1  
                     aten::stride         0.01%       4.042ms         0.01%       4.042ms       4.042ms       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.083us         0.00%       2.083us       2.083us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.979us         0.00%       1.979us       1.979us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.823us         0.00%       1.823us       1.823us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      49.479us         0.00%      49.479us      49.479us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      12.552us         0.00%      12.552us      12.552us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.00%     159.167us         0.55%     354.367ms     354.367ms       8.000us         0.00%     304.328ms     304.328ms             1  
                aten::convolution         0.00%      89.530us         0.55%     354.208ms     354.208ms       8.000us         0.00%     304.320ms     304.320ms             1  
               aten::_convolution         0.00%     242.552us         0.55%     354.118ms     354.118ms      32.000us         0.00%     304.312ms     304.312ms             1  
                 aten::contiguous         0.00%      27.969us         0.00%      27.969us      27.969us       4.000us         0.00%       4.000us       4.000us             1  
          aten::cudnn_convolution         0.54%     347.889ms         0.55%     351.763ms     351.763ms     303.504ms         0.47%     303.512ms     303.512ms             1  
                      aten::empty         0.01%       3.588ms         0.01%       3.588ms       3.588ms       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%     110.625us         0.00%     110.625us     110.625us       4.000us         0.00%       4.000us       4.000us             1  
                    aten::resize_         0.00%       9.427us         0.00%       9.427us       9.427us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      75.052us         0.00%      75.052us      75.052us       4.000us         0.00%       4.000us       4.000us             1  
                    aten::resize_         0.00%       6.198us         0.00%       6.198us       6.198us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       5.000us         0.00%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.021us         0.00%       3.021us       3.021us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.864us         0.00%       2.864us       2.864us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.813us         0.00%       2.813us       2.813us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      70.781us         0.00%      70.781us      70.781us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.00%      69.740us         0.00%       1.743ms       1.743ms       4.000us         0.00%       4.000us       4.000us             1  
                       aten::view         0.00%       1.673ms         0.00%       1.673ms       1.673ms       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.00%     341.927us         0.00%     341.927us     341.927us     760.000us         0.00%     760.000us     760.000us             1  
                       aten::relu         0.00%     328.907us         0.00%     580.209us     580.209us      16.000us         0.00%     244.000us     244.000us             1  
                  aten::threshold         0.00%     212.813us         0.00%     251.302us     251.302us     228.000us         0.00%     228.000us     228.000us             1  
                      aten::empty         0.00%      38.489us         0.00%      38.489us      38.489us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.00%     116.823us         0.00%       2.807ms       2.807ms       4.000us         0.00%      31.360ms      31.360ms             1  
                aten::convolution         0.00%     100.678us         0.00%       2.690ms       2.690ms       8.000us         0.00%      31.356ms      31.356ms             1  
               aten::_convolution         0.00%     822.081us         0.00%       2.590ms       2.590ms      20.000us         0.00%      31.348ms      31.348ms             1  
                 aten::contiguous         0.00%      36.042us         0.00%      36.042us      36.042us       4.000us         0.00%       4.000us       4.000us             1  
          aten::cudnn_convolution         0.00%       1.357ms         0.00%       1.460ms       1.460ms      30.548ms         0.05%      30.556ms      30.556ms             1  
                      aten::empty         0.00%      15.260us         0.00%      15.260us      15.260us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      28.490us         0.00%      28.490us      28.490us       4.000us         0.00%       4.000us       4.000us             1  
                    aten::resize_         0.00%       4.115us         0.00%       4.115us       4.115us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      26.511us         0.00%      26.511us      26.511us       4.000us         0.00%       4.000us       4.000us             1  
                    aten::resize_         0.00%       2.396us         0.00%       2.396us       2.396us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.396us         0.00%       2.396us       2.396us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.615us         0.00%       1.615us       1.615us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.250us         0.00%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.197us         0.00%       1.197us       1.197us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      20.000us         0.00%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 64.380s
CUDA time total: 64.153s
Alexnet + start
using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d         4.40%      37.094ms        56.99%     480.039ms     480.039ms      36.729ms         4.31%     479.726ms     479.726ms             1  
                aten::convolution         0.01%     123.646us        52.58%     442.946ms     442.946ms      79.383us         0.01%     442.997ms     442.997ms             1  
               aten::_convolution         2.16%      18.226ms        52.57%     442.822ms     442.822ms      19.446ms         2.28%     442.917ms     442.917ms             1  
                 aten::contiguous         0.19%       1.562ms         0.19%       1.562ms       1.562ms      73.375us         0.01%      73.375us      73.375us             1  
          aten::cudnn_convolution        38.28%     322.459ms        42.35%     356.731ms     356.731ms     356.980ms        41.86%     357.059ms     357.059ms             1  
                      aten::empty         0.16%       1.388ms         0.16%       1.388ms       1.388ms       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      60.937us         0.01%      60.937us      60.937us      43.703us         0.01%      43.703us      43.703us             1  
                    aten::resize_         3.88%      32.680ms         3.88%      32.680ms      32.680ms       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      66.093us         0.01%      66.093us      66.093us      34.688us         0.00%      34.688us      34.688us             1  
                    aten::resize_         0.00%       2.812us         0.00%       2.812us       2.812us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       6.667us         0.00%       6.667us       6.667us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.459us         0.00%       1.459us       1.459us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.094us         0.00%       1.094us       1.094us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.250us         0.00%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.01%      63.750us         0.01%      63.750us      63.750us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.25%       2.110ms         0.27%       2.257ms       2.257ms       2.407ms         0.28%       2.407ms       2.407ms             1  
                       aten::view         0.02%     146.875us         0.02%     146.875us     146.875us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         7.60%      64.047ms         7.60%      64.047ms      64.047ms      63.932ms         7.50%      63.932ms      63.932ms             1  
                       aten::relu         0.15%       1.224ms         2.49%      20.983ms      20.983ms     902.750us         0.11%      20.663ms      20.663ms             1  
                  aten::threshold         2.34%      19.731ms         2.35%      19.759ms      19.759ms      19.761ms         2.32%      19.761ms      19.761ms             1  
                      aten::empty         0.00%      28.854us         0.00%      28.854us      28.854us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.21%       1.807ms         6.72%      56.620ms      56.620ms     385.812us         0.05%      56.288ms      56.288ms             1  
    aten::max_pool2d_with_indices         4.81%      40.557ms         6.51%      54.813ms      54.813ms      55.901ms         6.56%      55.903ms      55.903ms             1  
                      aten::empty         1.68%      14.156ms         1.68%      14.156ms      14.156ms       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%       6.198us         0.00%       6.198us       6.198us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      62.136us         0.01%      62.136us      62.136us       2.125us         0.00%       2.125us       2.125us             1  
                     aten::stride         0.00%       2.708us         0.00%       2.708us       2.708us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.511us         0.00%       1.511us       1.511us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.041us         0.00%       1.041us       1.041us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.938us         0.00%       0.938us       0.938us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      18.646us         0.00%      18.646us      18.646us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%       5.834us         0.00%       5.834us       5.834us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.02%     149.791us         3.24%      27.251ms      27.251ms      43.688us         0.01%      54.707ms      54.707ms             1  
                aten::convolution         0.01%     125.000us         3.22%      27.101ms      27.101ms      78.688us         0.01%      54.664ms      54.664ms             1  
               aten::_convolution         0.05%     445.000us         3.20%      26.976ms      26.976ms     108.625us         0.01%      54.585ms      54.585ms             1  
                 aten::contiguous         0.00%      36.041us         0.00%      36.041us      36.041us      26.750us         0.00%      26.750us      26.750us             1  
          aten::cudnn_convolution         3.00%      25.281ms         3.02%      25.455ms      25.455ms      53.866ms         6.32%      53.920ms      53.920ms             1  
                      aten::empty         0.00%      33.854us         0.00%      33.854us      33.854us       0.000us         0.00%       0.000us       0.000us             1  
