Start Training： AlexNet from scratch
1.467,0.478
1.216,0.552
1.126,0.580
1.076,0.640
0.982,0.585
0.983,0.637
0.947,0.673
0.899,0.659
0.880,0.670
0.871,0.703
0.860,0.703
0.832,0.723
0.825,0.690
0.783,0.728
0.776,0.712
0.751,0.731
0.726,0.687
0.727,0.714
0.700,0.758
0.690,0.761
0.654,0.783
0.621,0.794
0.616,0.791
0.590,0.786
0.603,0.788
0.591,0.802
0.590,0.821
0.571,0.788
0.557,0.761
0.543,0.819
0.545,0.813
0.506,0.783
0.531,0.780
0.522,0.786
0.485,0.791
0.464,0.734
0.514,0.772
0.478,0.824
0.459,0.808
0.499,0.816
0.460,0.805
0.421,0.791
0.449,0.797
0.408,0.794
0.422,0.813
0.417,0.824
0.390,0.777
0.421,0.808
0.391,0.791
0.375,0.827
0.396,0.843
0.354,0.816
0.354,0.802
0.372,0.832
0.380,0.808
0.363,0.816
0.366,0.832
0.342,0.821
0.333,0.835
0.310,0.827
0.316,0.827
0.350,0.827
0.334,0.832
0.328,0.838
0.326,0.832
0.302,0.835
0.309,0.838
0.302,0.838
0.275,0.863
0.291,0.821
0.312,0.849
0.292,0.821
0.317,0.824
0.290,0.841
0.282,0.841
0.288,0.830
0.291,0.832
0.258,0.830
0.272,0.830
0.251,0.824
0.279,0.819
0.306,0.835
0.265,0.838
0.247,0.824
0.261,0.816
0.257,0.841
0.248,0.824
0.290,0.830
0.244,0.838
0.246,0.832
0.229,0.802
0.244,0.816
0.238,0.799
0.238,0.791
0.255,0.827
0.251,0.824
0.282,0.841
0.246,0.824
0.227,0.832
0.217,0.863
